#SampleID	alias	Compartment	Mesocosm	Sample_type	Water_type	Time	Sampling_date	Seq_data
MI.M05812_0379.001.FLD_ill_148_i7---IDT_i5_11.Mesocosm-7-Aug-18-2021	Mesocosm-7-Aug-18-2021	Water	Mesocosm_7	Carex	OSPW	D28	18-08-2021	16-12-2022
MI.M05812_0379.001.FLD_ill_156_i7---IDT_i5_12.Mesocosm-8-Aug-18-2021	Mesocosm-8-Aug-18-2021	Water	Mesocosm_8	No_plant	Artificial_OSPW	D28	18-08-2021	16-12-2022
MI.M05812_0379.001.FLD_ill_164_i7---IDT_i5_1.Mesocosm-9-Aug-18-2021	Mesocosm-9-Aug-18-2021	Water	Mesocosm_9	No_plant	OSPW	D28	18-08-2021	16-12-2022
MI.M05812_0379.001.FLD_ill_172_i7---IDT_i5_2.Mesocosm-10-Aug-18-2021	Mesocosm-10-Aug-18-2021	Water	Mesocosm_10	No_plant	OSPW	D28	18-08-2021	16-12-2022
MI.M05812_0379.001.FLD_ill_180_i7---IDT_i5_3.Mesocosm-11-Aug-18-2021	Mesocosm-11-Aug-18-2021	Water	Mesocosm_11	No_plant	Artificial_OSPW	D28	18-08-2021	16-12-2022
MI.M05812_0379.001.FLD_ill_188_i7---IDT_i5_4.Mesocosm-12-Aug-18-2021	Mesocosm-12-Aug-18-2021	Water	Mesocosm_12	Carex	OSPW	D28	18-08-2021	16-12-2022
MI.M05812_0379.001.FLD_ill_101_i7---IDT_i5_5.Mesocosm-1-Sep-1-2021	Mesocosm-1-Sep-1-2021	Water	Mesocosm_1	No_plant	OSPW	D42	01-09-2021	16-12-2022
MI.M05812_0379.001.FLD_ill_109_i7---IDT_i5_6.Mesocosm-2-Sep-1-2021	Mesocosm-2-Sep-1-2021	Water	Mesocosm_2	Carex	OSPW	D42	01-09-2021	16-12-2022
MI.M05812_0379.001.FLD_ill_117_i7---IDT_i5_7.Mesocosm-3-Sep-1-2021	Mesocosm-3-Sep-1-2021	Water	Mesocosm_3	No_plant	OSPW	D42	01-09-2021	16-12-2022
MI.M05812_0379.001.FLD_ill_125_i7---IDT_i5_8.Mesocosm-4-Sep-1-2021	Mesocosm-4-Sep-1-2021	Water	Mesocosm_4	No_plant	Artificial_OSPW	D42	01-09-2021	16-12-2022
MI.M05812_0379.001.FLD_ill_133_i7---IDT_i5_9.Mesocosm-5-Sep-1-2021	Mesocosm-5-Sep-1-2021	Water	Mesocosm_5	No_plant	Artificial_OSPW	D42	01-09-2021	16-12-2022
MI.M05812_0379.001.FLD_ill_141_i7---IDT_i5_10.Mesocosm-6-Sep-1-2021	Mesocosm-6-Sep-1-2021	Water	Mesocosm_6	Carex	OSPW	D42	01-09-2021	16-12-2022
MI.M05812_0379.001.FLD_ill_149_i7---IDT_i5_11.Mesocosm-7-Sep-1-2021	Mesocosm-7-Sep-1-2021	Water	Mesocosm_7	Carex	OSPW	D42	01-09-2021	16-12-2022
