;alias;Compartment;Mesocosm;Sample_type;Water_type;Time;Sampling_date;Seq_data;Group;Sample_name;NA_concentration;Final_NA_conc
Mesocosm_4_D84;M4-13.10.21;Water;Mesocosm_4;No_plant;Artificial_OSPW;D84;13-10-2021;20-03-2023;No_plant_Artificial_OSPW;Mesocosm_4_D84;0.3;0.3
Mesocosm_5_D-0;M5-13.07.21;Water;Mesocosm_5;No_plant;Artificial_OSPW;D-0;13-07-2021;20-03-2023;No_plant_Artificial_OSPW;Mesocosm_5_D-0;0.9;0.1
Mesocosm_5_D28;Mesocosm-5-Aug-18-2021;Water;Mesocosm_5;No_plant;Artificial_OSPW;D28;18-08-2021;16-12-2022;No_plant_Artificial_OSPW;Mesocosm_5_D28;0.4;0.1
Mesocosm_5_D42;Mesocosm-5-Sep-1-2021;Water;Mesocosm_5;No_plant;Artificial_OSPW;D42;01-09-2021;16-12-2022;No_plant_Artificial_OSPW;Mesocosm_5_D42;0.5;0.1
Mesocosm_5_D8;M5-30.07.21;Water;Mesocosm_5;No_plant;Artificial_OSPW;D8;30-07-2021;20-03-2023;No_plant_Artificial_OSPW;Mesocosm_5_D8;0.5;0.1
Mesocosm_5_D84;M5-13.10.21;Water;Mesocosm_5;No_plant;Artificial_OSPW;D84;13-10-2021;20-03-2023;No_plant_Artificial_OSPW;Mesocosm_5_D84;0.1;0.1
Mesocosm_6_D-0;M6-13.07.21;Water;Mesocosm_6;Carex;OSPW;D-0;13-07-2021;20-03-2023;Carex_OSPW;Mesocosm_6_D-0;1;13.1
Mesocosm_6_D28;Mesocosm-6-Aug-18-2021;Water;Mesocosm_6;Carex;OSPW;D28;18-08-2021;16-12-2022;Carex_OSPW;Mesocosm_6_D28;52.3;13.1
Mesocosm_6_D42;Mesocosm-6-Sep-1-2021;Water;Mesocosm_6;Carex;OSPW;D42;01-09-2021;16-12-2022;Carex_OSPW;Mesocosm_6_D42;43.5;13.1
Mesocosm_6_D8;M6-30.07.21;Water;Mesocosm_6;Carex;OSPW;D8;30-07-2021;20-03-2023;Carex_OSPW;Mesocosm_6_D8;68.3;13.1
Mesocosm_6_D84;M6-13.10.21;Water;Mesocosm_6;Carex;OSPW;D84;13-10-2021;20-03-2023;Carex_OSPW;Mesocosm_6_D84;13.1;13.1
Mesocosm_7_D-0;M7-13.07.21;Water;Mesocosm_7;Carex;OSPW;D-0;13-07-2021;20-03-2023;Carex_OSPW;Mesocosm_7_D-0;0.4;10.2
Mesocosm_7_D28;Mesocosm-7-Aug-18-2021;Water;Mesocosm_7;Carex;OSPW;D28;18-08-2021;16-12-2022;Carex_OSPW;Mesocosm_7_D28;44.3;10.2
Mesocosm_7_D42;Mesocosm-7-Sep-1-2021;Water;Mesocosm_7;Carex;OSPW;D42;01-09-2021;16-12-2022;Carex_OSPW;Mesocosm_7_D42;55.2;10.2
Mesocosm_7_D8;M7-30.07.21;Water;Mesocosm_7;Carex;OSPW;D8;30-07-2021;20-03-2023;Carex_OSPW;Mesocosm_7_D8;112.6;10.2
Mesocosm_7_D84;M7-13.10.21;Water;Mesocosm_7;Carex;OSPW;D84;13-10-2021;20-03-2023;Carex_OSPW;Mesocosm_7_D84;10.2;10.2
Mesocosm_8_D-0;M8-13.07.21;Water;Mesocosm_8;No_plant;Artificial_OSPW;D-0;13-07-2021;20-03-2023;No_plant_Artificial_OSPW;Mesocosm_8_D-0;1.9;1.3
Mesocosm_8_D28;Mesocosm-8-Aug-18-2021;Water;Mesocosm_8;No_plant;Artificial_OSPW;D28;18-08-2021;16-12-2022;No_plant_Artificial_OSPW;Mesocosm_8_D28;0.4;1.3
Mesocosm_8_D42;Mesocosm-8-Sep-1-2021;Water;Mesocosm_8;No_plant;Artificial_OSPW;D42;01-09-2021;16-12-2022;No_plant_Artificial_OSPW;Mesocosm_8_D42;0.7;1.3
Mesocosm_8_D8;M9-30.07.21;Water;Mesocosm_8;No_plant;Artificial_OSPW;D8;30-07-2021;20-03-2023;No_plant_Artificial_OSPW;Mesocosm_8_D8;0.2;1.3
Mesocosm_8_D84;M8-13.10.21;Water;Mesocosm_8;No_plant;Artificial_OSPW;D84;13-10-2021;20-03-2023;No_plant_Artificial_OSPW;Mesocosm_8_D84;1.3;1.3
Mesocosm_9_D-0;M9-13.07.21;Water;Mesocosm_9;No_plant;OSPW;D-0;13-07-2021;20-03-2023;No_plant_OSPW;Mesocosm_9_D-0;1;61.7
Mesocosm_9_D28;Mesocosm-9-Aug-18-2021;Water;Mesocosm_9;No_plant;OSPW;D28;18-08-2021;16-12-2022;No_plant_OSPW;Mesocosm_9_D28;91.5;61.7
Mesocosm_9_D42;Mesocosm-9-Sep-1-2021;Water;Mesocosm_9;No_plant;OSPW;D42;01-09-2021;16-12-2022;No_plant_OSPW;Mesocosm_9_D42;67.2;61.7
Mesocosm_9_D8;M8-30.07.21;Water;Mesocosm_9;No_plant;OSPW;D8;30-07-2021;20-03-2023;No_plant_OSPW;Mesocosm_9_D8;92;61.7
Mesocosm_9_D84;M9-13.10.21;Water;Mesocosm_9;No_plant;OSPW;D84;13-10-2021;20-03-2023;No_plant_OSPW;Mesocosm_9_D84;61.7;61.7
