#SampleID	alias	Compartment	Mesocosm	Sample_type	Water_type	Time	Sampling_date	Seq_data
MI.M03737_0067.001.FLD_ill_080_i7---IDT_i5_7.BlankpcrCES	BlankpcrCES	BlankpcrCES	BlankpcrCES	BlankpcrCES	BlankpcrCES	BlankpcrCES	BlankpcrCES	16-12-2022
MI.M06648_0363.001.FLD_ill_184_i7---IDT_i5_2.BlankpcrCES	BlankpcrCES	BlankpcrCES	BlankpcrCES	BlankpcrCES	BlankpcrCES	BlankpcrCES	BlankpcrCES	20-03-2023
MI.M06648_0363.001.FLD_ill_097_i7---IDT_i5_4.M1-13-07-21-Tar	M1-13.07.21	Water	Mesocosm_1	No_plant	OSPW	D-0	13-07-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_105_i7---IDT_i5_5.M2-13-07-21-Tar	M2-13.07.21	Water	Mesocosm_2	Carex	OSPW	D-0	13-07-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_113_i7---IDT_i5_6.M3-13-07-21-Tar	M3-13.07.21	Water	Mesocosm_3	No_plant	OSPW	D-0	13-07-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_121_i7---IDT_i5_7.M4-13-07-21-Tar	M4-13.07.21	Water	Mesocosm_4	No_plant	Artificial_OSPW	D-0	13-07-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_129_i7---IDT_i5_8.M5-13-07-21-Tar	M5-13.07.21	Water	Mesocosm_5	No_plant	Artificial_OSPW	D-0	13-07-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_137_i7---IDT_i5_9.M6-13-07-21-Tar	M6-13.07.21	Water	Mesocosm_6	Carex	OSPW	D-0	13-07-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_145_i7---IDT_i5_10.M7-13-07-21-Tar	M7-13.07.21	Water	Mesocosm_7	Carex	OSPW	D-0	13-07-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_153_i7---IDT_i5_11.M8-13-07-21-Tar	M8-13.07.21	Water	Mesocosm_8	No_plant	Artificial_OSPW	D-0	13-07-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_161_i7---IDT_i5_12.M9-13-07-21-Tar	M9-13.07.21	Water	Mesocosm_9	No_plant	OSPW	D-0	13-07-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_169_i7---IDT_i5_1.M10-13-07-21-Tar	M10-13.07.21	Water	Mesocosm_10	No_plant	OSPW	D-0	13-07-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_177_i7---IDT_i5_2.M11-13-07-21-Tar	M11-13.07.21	Water	Mesocosm_11	No_plant	Artificial_OSPW	D-0	13-07-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_185_i7---IDT_i5_3.M12-13-07-21-Tar	M12-13.07.21	Water	Mesocosm_12	Carex	OSPW	D-0	13-07-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_098_i7---IDT_i5_4.M1-30-07-21-Tar	M1-30.07.21	Water	Mesocosm_1	No_plant	OSPW	D8	30-07-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_106_i7---IDT_i5_5.M2-30-07-21-Tar	M2-30.07.21	Water	Mesocosm_2	Carex	OSPW	D8	30-07-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_114_i7---IDT_i5_6.M3-30-07-21-Tar	M3-30.07.21	Water	Mesocosm_3	No_plant	OSPW	D8	30-07-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_122_i7---IDT_i5_7.M4-30-07-21-Tar	M4-30.07.21	Water	Mesocosm_4	No_plant	Artificial_OSPW	D8	30-07-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_130_i7---IDT_i5_8.M5-30-07-21-Tar	M5-30.07.21	Water	Mesocosm_5	No_plant	Artificial_OSPW	D8	30-07-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_138_i7---IDT_i5_9.M6-30-07-21-Tar	M6-30.07.21	Water	Mesocosm_6	Carex	OSPW	D8	30-07-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_146_i7---IDT_i5_10.M7-30-07-21-Tar	M7-30.07.21	Water	Mesocosm_7	Carex	OSPW	D8	30-07-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_154_i7---IDT_i5_11.M8-30-07-21-Tar	M8-30.07.21	Water	Mesocosm_8	No_plant	Artificial_OSPW	D8	30-07-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_162_i7---IDT_i5_12.M9-30-07-21-Tar	M9-30.07.21	Water	Mesocosm_9	No_plant	OSPW	D8	30-07-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_170_i7---IDT_i5_1.M10-30-07-21-Tar	M10-30.07.21	Water	Mesocosm_10	No_plant	OSPW	D8	30-07-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_178_i7---IDT_i5_2.M11-30-07-21-Tar	M11-30.07.21	Water	Mesocosm_11	No_plant	Artificial_OSPW	D8	30-07-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_186_i7---IDT_i5_3.M12-30-07-21-Tar	M12-30.07.21	Water	Mesocosm_12	Carex	OSPW	D8	30-07-2021	20-03-2023
MI.M03737_0067.001.FLD_ill_004_i7---IDT_i5_11.Mesocosm-1-Aug-18-2021	Mesocosm-1-Aug-18-2021	Water	Mesocosm_1	No_plant	OSPW	D28	18-08-2021	16-12-2022
MI.M03737_0067.001.FLD_ill_012_i7---IDT_i5_12.Mesocosm-2-Aug-18-2021	Mesocosm-2-Aug-18-2021	Water	Mesocosm_2	Carex	OSPW	D28	18-08-2021	16-12-2022
MI.M03737_0067.001.FLD_ill_020_i7---IDT_i5_1.Mesocosm-3-Aug-18-2021	Mesocosm-3-Aug-18-2021	Water	Mesocosm_3	No_plant	OSPW	D28	18-08-2021	16-12-2022
MI.M03737_0067.001.FLD_ill_028_i7---IDT_i5_2.Mesocosm-4-Aug-18-2021	Mesocosm-4-Aug-18-2021	Water	Mesocosm_4	No_plant	Artificial_OSPW	D28	18-08-2021	16-12-2022
MI.M03737_0067.001.FLD_ill_036_i7---IDT_i5_3.Mesocosm-5-Aug-18-2021	Mesocosm-5-Aug-18-2021	Water	Mesocosm_5	No_plant	Artificial_OSPW	D28	18-08-2021	16-12-2022
MI.M03737_0067.001.FLD_ill_044_i7---IDT_i5_4.Mesocosm-6-Aug-18-2021	Mesocosm-6-Aug-18-2021	Water	Mesocosm_6	Carex	OSPW	D28	18-08-2021	16-12-2022
MI.M03737_0067.001.FLD_ill_052_i7---IDT_i5_5.Mesocosm-7-Aug-18-2021	Mesocosm-7-Aug-18-2021	Water	Mesocosm_7	Carex	OSPW	D28	18-08-2021	16-12-2022
MI.M03737_0067.001.FLD_ill_060_i7---IDT_i5_6.Mesocosm-8-Aug-18-2021	Mesocosm-8-Aug-18-2021	Water	Mesocosm_8	No_plant	Artificial_OSPW	D28	18-08-2021	16-12-2022
MI.M03737_0067.001.FLD_ill_068_i7---IDT_i5_7.Mesocosm-9-Aug-18-2021	Mesocosm-9-Aug-18-2021	Water	Mesocosm_9	No_plant	OSPW	D28	18-08-2021	16-12-2022
MI.M03737_0067.001.FLD_ill_076_i7---IDT_i5_8.Mesocosm-10-Aug-18-2021	Mesocosm-10-Aug-18-2021	Water	Mesocosm_10	No_plant	OSPW	D28	18-08-2021	16-12-2022
MI.M03737_0067.001.FLD_ill_084_i7---IDT_i5_9.Mesocosm-11-Aug-18-2021	Mesocosm-11-Aug-18-2021	Water	Mesocosm_11	No_plant	Artificial_OSPW	D28	18-08-2021	16-12-2022
MI.M03737_0067.001.FLD_ill_092_i7---IDT_i5_10.Mesocosm-12-Aug-18-2021	Mesocosm-12-Aug-18-2021	Water	Mesocosm_12	Carex	OSPW	D28	18-08-2021	16-12-2022
MI.M03737_0067.001.FLD_ill_005_i7---IDT_i5_11.Mesocosm-1-Sep-1-2021	Mesocosm-1-Sep-1-2021	Water	Mesocosm_1	No_plant	OSPW	D42	01-09-2021	16-12-2022
MI.M03737_0067.001.FLD_ill_013_i7---IDT_i5_12.Mesocosm-2-Sep-1-2021	Mesocosm-2-Sep-1-2021	Water	Mesocosm_2	Carex	OSPW	D42	01-09-2021	16-12-2022
MI.M03737_0067.001.FLD_ill_021_i7---IDT_i5_1.Mesocosm-3-Sep-1-2021	Mesocosm-3-Sep-1-2021	Water	Mesocosm_3	No_plant	OSPW	D42	01-09-2021	16-12-2022
MI.M03737_0067.001.FLD_ill_029_i7---IDT_i5_2.Mesocosm-4-Sep-1-2021	Mesocosm-4-Sep-1-2021	Water	Mesocosm_4	No_plant	Artificial_OSPW	D42	01-09-2021	16-12-2022
MI.M03737_0067.001.FLD_ill_037_i7---IDT_i5_3.Mesocosm-5-Sep-1-2021	Mesocosm-5-Sep-1-2021	Water	Mesocosm_5	No_plant	Artificial_OSPW	D42	01-09-2021	16-12-2022
MI.M03737_0067.001.FLD_ill_045_i7---IDT_i5_4.Mesocosm-6-Sep-1-2021	Mesocosm-6-Sep-1-2021	Water	Mesocosm_6	Carex	OSPW	D42	01-09-2021	16-12-2022
MI.M03737_0067.001.FLD_ill_053_i7---IDT_i5_5.Mesocosm-7-Sep-1-2021	Mesocosm-7-Sep-1-2021	Water	Mesocosm_7	Carex	OSPW	D42	01-09-2021	16-12-2022
MI.M03737_0067.001.FLD_ill_061_i7---IDT_i5_6.Mesocosm-8-Sep-1-2021	Mesocosm-8-Sep-1-2021	Water	Mesocosm_8	No_plant	Artificial_OSPW	D42	01-09-2021	16-12-2022
MI.M03737_0067.001.FLD_ill_069_i7---IDT_i5_7.Mesocosm-9-Sep-1-2021	Mesocosm-9-Sep-1-2021	Water	Mesocosm_9	No_plant	OSPW	D42	01-09-2021	16-12-2022
MI.M03737_0067.001.FLD_ill_077_i7---IDT_i5_8.Mesocosm-10-Sep-1-2021	Mesocosm-10-Sep-1-2021	Water	Mesocosm_10	No_plant	OSPW	D42	01-09-2021	16-12-2022
MI.M03737_0067.001.FLD_ill_085_i7---IDT_i5_9.Mesocosm-11-Sep-1-2021	Mesocosm-11-Sep-1-2021	Water	Mesocosm_11	No_plant	Artificial_OSPW	D42	01-09-2021	16-12-2022
MI.M03737_0067.001.FLD_ill_093_i7---IDT_i5_10.Mesocosm-12-Sep-1-2021	Mesocosm-12-Sep-1-2021	Water	Mesocosm_12	Carex	OSPW	D42	01-09-2021	16-12-2022
MI.M06648_0363.001.FLD_ill_099_i7---IDT_i5_4.M1-13-10-21-Tar	M1-13.10.21	Water	Mesocosm_1	No_plant	OSPW	D84	13-10-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_107_i7---IDT_i5_5.M2-13-10-21-Tar	M2-13.10.21	Water	Mesocosm_2	Carex	OSPW	D84	13-10-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_115_i7---IDT_i5_6.M3-13-10-21-Tar	M3-13.10.21	Water	Mesocosm_3	No_plant	OSPW	D84	13-10-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_123_i7---IDT_i5_7.M4-13-10-21-Tar	M4-13.10.21	Water	Mesocosm_4	No_plant	Artificial_OSPW	D84	13-10-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_131_i7---IDT_i5_8.M5-13-10-21-Tar	M5-13.10.21	Water	Mesocosm_5	No_plant	Artificial_OSPW	D84	13-10-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_139_i7---IDT_i5_9.M6-13-10-21-Tar	M6-13.10.21	Water	Mesocosm_6	Carex	OSPW	D84	13-10-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_147_i7---IDT_i5_10.M7-13-10-21-Tar	M7-13.10.21	Water	Mesocosm_7	Carex	OSPW	D84	13-10-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_155_i7---IDT_i5_11.M8-13-10-21-Tar	M8-13.10.21	Water	Mesocosm_8	No_plant	Artificial_OSPW	D84	13-10-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_163_i7---IDT_i5_12.M9-13-10-21-Tar	M9-13.10.21	Water	Mesocosm_9	No_plant	OSPW	D84	13-10-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_171_i7---IDT_i5_1.M10-13-10-21-Tar	M10-13.10.21	Water	Mesocosm_10	No_plant	OSPW	D84	13-10-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_179_i7---IDT_i5_2.M11-13-10-21-Tar	M11-13.10.21	Water	Mesocosm_11	No_plant	Artificial_OSPW	D84	13-10-2021	20-03-2023
MI.M06648_0363.001.FLD_ill_187_i7---IDT_i5_3.M12-13-10-21-Tar	M12-13.10.21	Water	Mesocosm_12	Carex	OSPW	D84	13-10-2021	20-03-2023
