;Sample_name;Time;Compartment;Water_type;Sample_type;Mesocosm;Group;Sampling_date;NA_concentration;Final_NA_conc
Mesocosm.2.D28.Rhizo;Mesocosm.2.D28.Rhizo;D28;Rhizosphere;OSPW;Carex;Mesocosm_2;Rhizosphere_Carex_OSPW;18-08-2021;59.8;21.6
Mesocosm.2.D28.Sed;Mesocosm.2.D28.Sed;D28;Sediments;OSPW;Carex;Mesocosm_2;Sediments_Carex_OSPW;18-08-2021;59.8;21.6
Mesocosm.2.D42.Racine;Mesocosm.2.D42.Racine;D42;Roots;OSPW;Carex;Mesocosm_2;Roots_Carex_OSPW;01-09-2021;40.6;21.6
Mesocosm.2.D42.Rhizo;Mesocosm.2.D42.Rhizo;D42;Rhizosphere;OSPW;Carex;Mesocosm_2;Rhizosphere_Carex_OSPW;01-09-2021;40.6;21.6
Mesocosm.2.D42.Sed;Mesocosm.2.D42.Sed;D42;Sediments;OSPW;Carex;Mesocosm_2;Sediments_Carex_OSPW;01-09-2021;40.6;21.6
Mesocosm.2.D8.Racine;Mesocosm.2.D8.Racine;D8;Roots;OSPW;Carex;Mesocosm_2;Roots_Carex_OSPW;29-07-2021;74.8;21.6
Mesocosm.2.D8.Rhizo;Mesocosm.2.D8.Rhizo;D8;Rhizosphere;OSPW;Carex;Mesocosm_2;Rhizosphere_Carex_OSPW;29-07-2021;74.8;21.6
Mesocosm.2.D8.Sed;Mesocosm.2.D8.Sed;D8;Sediments;OSPW;Carex;Mesocosm_2;Sediments_Carex_OSPW;29-07-2021;74.8;21.6
Mesocosm.2.D84.Racine;Mesocosm.2.D84.Racine;D84;Roots;OSPW;Carex;Mesocosm_2;Roots_Carex_OSPW;13-10-2021;21.6;21.6
Mesocosm.2.D84.Rhizo;Mesocosm.2.D84.Rhizo;D84;Rhizosphere;OSPW;Carex;Mesocosm_2;Rhizosphere_Carex_OSPW;13-10-2021;21.6;21.6
Mesocosm.2.D84.Sed;Mesocosm.2.D84.Sed;D84;Sediments;OSPW;Carex;Mesocosm_2;Sediments_Carex_OSPW;13-10-2021;21.6;21.6
Mesocosm.3.D0.Sed;Mesocosm.3.D0.Sed;D-0;Sediments;OSPW;No_plant;Mesocosm_3;Sediments_No_plant_OSPW;14-07-2021;1.1;57.4
Mesocosm.3.D28.Sed;Mesocosm.3.D28.Sed;D28;Sediments;OSPW;No_plant;Mesocosm_3;Sediments_No_plant_OSPW;18-08-2021;122.8;57.4
Mesocosm.3.D42.Sed;Mesocosm.3.D42.Sed;D42;Sediments;OSPW;No_plant;Mesocosm_3;Sediments_No_plant_OSPW;01-09-2021;83.9;57.4
Mesocosm.3.D8.Sed;Mesocosm.3.D8.Sed;D8;Sediments;OSPW;No_plant;Mesocosm_3;Sediments_No_plant_OSPW;29-07-2021;75.1;57.4
Mesocosm.3.D84.Sed;Mesocosm.3.D84.Sed;D84;Sediments;OSPW;No_plant;Mesocosm_3;Sediments_No_plant_OSPW;13-10-2021;57.4;57.4
Mesocosm.4.D0.Sed;Mesocosm.4.D0.Sed;D-0;Sediments;Artificial_OSPW;No_plant;Mesocosm_4;Sediments_No_plant_Artificial_OSPW;14-07-2021;1.4;0.3
Mesocosm.4.D28.Sed;Mesocosm.4.D28.Sed;D28;Sediments;Artificial_OSPW;No_plant;Mesocosm_4;Sediments_No_plant_Artificial_OSPW;18-08-2021;0.3;0.3
Mesocosm.4.D42.Sed;Mesocosm.4.D42.Sed;D42;Sediments;Artificial_OSPW;No_plant;Mesocosm_4;Sediments_No_plant_Artificial_OSPW;01-09-2021;0.2;0.3
