#SampleID;alias;Compartment;Mesocosm;Sample_type;Water_type;Time;Sampling_date;NA_concentration
71-Mesocosm-12-1-Exp1-D28-Racine;71-Mesocosm-12-1-Exp1-D28-Racine;Roots;Mesocosm_12;Carex;OSPW;D28;18-08-2021;78.5
71-Mesocosm-12-1-Exp1-D28-Rhizo;71-Mesocosm-12-1-Exp1-D28-Rhizo;Rhizosphere;Mesocosm_12;Carex;OSPW;D28;18-08-2021;78.5
71-Mesocosm-12-1-Exp1-D28-Sed;71-Mesocosm-12-1-Exp1-D28-Sed;Sediments;Mesocosm_12;Carex;OSPW;D28;18-08-2021;78.5
72-Mesocosm-12-2-Exp1-D28-Racine;72-Mesocosm-12-2-Exp1-D28-Racine;Roots;Mesocosm_12;Carex;OSPW;D28;18-08-2021;78.5
72-Mesocosm-12-2-Exp1-D28-Rhizo;72-Mesocosm-12-2-Exp1-D28-Rhizo;Rhizosphere;Mesocosm_12;Carex;OSPW;D28;18-08-2021;78.5
72-Mesocosm-12-2-Exp1-D28-Sed;72-Mesocosm-12-2-Exp1-D28-Sed;Sediments;Mesocosm_12;Carex;OSPW;D28;18-08-2021;78.5
95-Mesocosm-12-1-Exp1-D42-Racine;95-Mesocosm-12-1-Exp1-D42-Racine;Roots;Mesocosm_12;Carex;OSPW;D42;01-09-2021;44.1
95-Mesocosm-12-1-Exp1-D42-Rhizo;95-Mesocosm-12-1-Exp1-D42-Rhizo;Rhizosphere;Mesocosm_12;Carex;OSPW;D42;01-09-2021;44.1
95-Mesocosm-12-1-Exp1-D42-Sed;95-Mesocosm-12-1-Exp1-D42-Sed;Sediments;Mesocosm_12;Carex;OSPW;D42;01-09-2021;44.1
96-Mesocosm-12-2-Exp1-D42-Racine;96-Mesocosm-12-2-Exp1-D42-Racine;Roots;Mesocosm_12;Carex;OSPW;D42;01-09-2021;44.1
96-Mesocosm-12-2-Exp1-D42-Rhizo;96-Mesocosm-12-2-Exp1-D42-Rhizo;Rhizosphere;Mesocosm_12;Carex;OSPW;D42;01-09-2021;44.1
96-Mesocosm-12-2-Exp1-D42-Sed;96-Mesocosm-12-2-Exp1-D42-Sed;Sediments;Mesocosm_12;Carex;OSPW;D42;01-09-2021;44.1
47-Mesocosm-12-1-Exp1-D8-Racine;47-Mesocosm-12-1-Exp1-D8-Racine;Roots;Mesocosm_12;Carex;OSPW;D8;29-07-2021;79.1
47-Mesocosm-12-1-Exp1-D8-Rhizo;47-Mesocosm-12-1-Exp1-D8-Rhizo;Rhizosphere;Mesocosm_12;Carex;OSPW;D8;29-07-2021;79.1
47-Mesocosm-12-1-Exp1-D8-Sed;47-Mesocosm-12-1-Exp1-D8-Sed;Sediments;Mesocosm_12;Carex;OSPW;D8;29-07-2021;79.1
48-Mesocosm-12-2-Exp1-D8-Racine;48-Mesocosm-12-2-Exp1-D8-Racine;Roots;Mesocosm_12;Carex;OSPW;D8;29-07-2021;79.1
48-Mesocosm-12-2-Exp1-D8-Rhizo;48-Mesocosm-12-2-Exp1-D8-Rhizo;Rhizosphere;Mesocosm_12;Carex;OSPW;D8;29-07-2021;79.1
48-Mesocosm-12-2-Exp1-D8-Sed;48-Mesocosm-12-2-Exp1-D8-Sed;Sediments;Mesocosm_12;Carex;OSPW;D8;29-07-2021;79.1
119-Mesocosm-12-1-Exp1-TEST-Racines;119-Mesocosm-12-1-Exp1-TEST-Racines;Roots;Mesocosm_12;Carex;OSPW;D84;13-10-2021;23.4
119-Mesocosm-12-1-Exp1-TEST-Rhizo;119-Mesocosm-12-1-Exp1-TEST-Rhizo;Rhizosphere;Mesocosm_12;Carex;OSPW;D84;13-10-2021;23.4
119-Mesocosm-12-1-Exp1-TEST-Sed;119-Mesocosm-12-1-Exp1-TEST-Sed;Sediments;Mesocosm_12;Carex;OSPW;D84;13-10-2021;23.4
120-Mesocosm-12-2-Exp1-TEST-Racine;120-Mesocosm-12-2-Exp1-TEST-Racine;Roots;Mesocosm_12;Carex;OSPW;D84;13-10-2021;23.4
